utilization_type,state,ndc,labeler_code,product_code,package_size,year,quarter,suppression_used,product_name,units_reimbursed,number_of_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed
FFSU,AK,00002771227,00002,7712,27,2022,4,false,"HUMALOG KW",928.000,54.000000000,63444.77,63444.77,0.00
FFSU,AK,00002771459,00002,7714,59,2022,4,false,"HUMALOG JU",240.000,14.000000000,8278.96,8278.96,0.00
FFSU,AK,00002771559,00002,7715,59,2022,4,false,"BASAGLAR K",888.000,64.000000000,19024.13,18259.27,764.86
FFSU,AK,00002772411,00002,7724,11,2022,4,true,"TALTZ SYRI",,,,,
FFSU,AK,00002772801,00002,7728,01,2022,4,true,"LYUMJEV   ",,,,,
FFSU,AK,00002773701,00002,7737,01,2022,4,false,"INSULIN LI",5770.000,189.000000000,47230.89,46684.05,546.84
FFSU,AK,00002775205,00002,7752,05,2022,4,false,"INSULIN LI",462.000,25.000000000,4946.62,4946.62,0.00
FFSU,AK,00002791001,00002,7910,01,2022,4,true,BAMLANIVIM,,,,,
FFSU,AK,00002795001,00002,7950,01,2022,4,true,ETESEVIMAB,,,,,
FFSU,AK,00002803101,00002,8031,01,2022,4,false,"GLUCAGON E",27.000,17.000000000,6162.99,6162.99,0.00
FFSU,AK,00002814801,00002,8148,01,2022,4,true,"HUMATROPE ",,,,,
FFSU,AK,00002821501,00002,8215,01,2022,4,false,"HUMULIN R ",540.000,17.000000000,7790.28,7790.28,0.00
FFSU,AK,00002821517,00002,8215,17,2022,4,true,"HUMULIN R ",,,,,
FFSU,AK,00002822259,00002,8222,59,2022,4,false,"INSULIN LI",7107.000,337.000000000,74964.98,74964.98,0.00
FFSU,AK,00002822827,00002,8228,27,2022,4,true,"LYUMJEV KW",,,,,
FFSU,AK,00002823305,00002,8233,05,2022,4,true,"INSULIN LI",,,,,
FFSU,AK,00002831501,00002,8315,01,2022,4,true,"HUMULIN N ",,,,,
FFSU,AK,00002840001,00002,8400,01,2022,4,true,"FORTEO    ",,,,,
FFSU,AK,00002850101,00002,8501,01,2022,4,true,"HUMULIN R ",,,,,
FFSU,AK,00002871501,00002,8715,01,2022,4,true,"HUMULIN 70",,,,,
FFSU,AK,00002879759,00002,8797,59,2022,4,true,"HUMALOG MI",,,,,
FFSU,AK,00002879859,00002,8798,59,2022,4,true,"HUMALOG MI",,,,,
FFSU,AK,00002879901,00002,8799,01,2022,4,true,"HUMALOG KW",,,,,
FFSU,AK,00002879959,00002,8799,59,2022,4,false,"HUMALOG KW",1710.000,112.000000000,59425.38,58593.42,831.96
FFSU,AK,00002880359,00002,8803,59,2022,4,false,"HUMULIN 70",198.000,11.000000000,5913.05,5913.05,0.00
FFSU,AK,00002880559,00002,8805,59,2022,4,false,"HUMULIN N ",783.000,44.000000000,22709.71,22245.08,464.63
FFSU,AK,00002882427,00002,8824,27,2022,4,true,"HUMULIN R ",,,,,
FFSU,AK,00003029305,00003,0293,05,2022,4,false,KENALOG-40,284.120,275.000000000,2030.98,1985.79,45.19
FFSU,AK,00003029320,00003,0293,20,2022,4,true,KENALOG-40,,,,,
FFSU,AK,00003029328,00003,0293,28,2022,4,false,KENALOG-40,257.000,163.000000000,1716.01,1587.07,128.94
FFSU,AK,00003037113,00003,0371,13,2022,4,true,"NULOJIX   ",,,,,
FFSU,AK,00003049420,00003,0494,20,2022,4,false,KENALOG-10,93.600,45.000000000,223.85,208.40,15.45
FFSU,AK,00003052411,00003,0524,11,2022,4,true,"SPRYCEL   ",,,,,
FFSU,AK,00003085222,00003,0852,22,2022,4,true,"SPRYCEL   ",,,,,
FFSU,AK,00003085522,00003,0855,22,2022,4,true,"SPRYCEL   ",,,,,
FFSU,AK,00003085722,00003,0857,22,2022,4,true,"SPRYCEL   ",,,,,
FFSU,AK,00003089321,00003,0893,21,2022,4,false,"ELIQUIS   ",6972.000,117.000000000,59804.78,59804.78,0.00
FFSU,AK,00003089421,00003,0894,21,2022,4,false,"ELIQUIS   ",74460.000,1089.000000000,622343.78,615201.85,7141.93
FFSU,AK,00003089431,00003,0894,31,2022,4,false,"ELIQUIS   ",979.000,29.000000000,8671.86,8671.86,0.00
FFSU,AK,00003089470,00003,0894,70,2022,4,false,"ELIQUIS   ",664.000,12.000000000,5353.23,5353.23,0.00
FFSU,AK,00003218811,00003,2188,11,2022,4,true,"ORENCIA   ",,,,,
FFSU,AK,00003218851,00003,2188,51,2022,4,true,"ORENCIA CL",,,,,
FFSU,AK,00003232711,00003,2327,11,2022,4,true,"YERVOY    ",,,,,
FFSU,AK,00003373413,00003,3734,13,2022,4,false,"OPDIVO    ",528.000,13.000000000,149674.59,138503.53,11171.06
FFSU,AK,00003375614,00003,3756,14,2022,4,true,"OPDIVO    ",,,,,
FFSU,AK,00003376474,00003,3764,74,2022,4,true,"ELIQUIS   ",,,,,
FFSU,AK,00003377211,00003,3772,11,2022,4,true,"OPDIVO    ",,,,,
FFSU,AK,00003377412,00003,3774,12,2022,4,true,"OPDIVO    ",,,,,
FFSU,AK,00003712511,00003,7125,11,2022,4,true,"OPDUALAG  ",,,,,
FFSU,AK,00004080085,00004,0800,85,2022,4,false,"TAMIFLU   ",1836.000,184.000000000,6058.30,6058.30,0.00
FFSU,AK,00004080185,00004,0801,85,2022,4,true,"TAMIFLU   ",,,,,
FFSU,AK,00004080285,00004,0802,85,2022,4,true,"TAMIFLU   ",,,,,
FFSU,AK,00004082205,00004,0822,05,2022,4,false,"TAMIFLU   ",7680.000,74.000000000,5041.41,5041.41,0.00
FFSU,AK,00006003330,00006,0033,30,2022,4,false,"BELSOMRA  ",430.000,15.000000000,5630.14,5630.14,0.00
FFSU,AK,00006007861,00006,0078,61,2022,4,true,"JANUMET XR",,,,,
FFSU,AK,00006008061,00006,0080,61,2022,4,false,"JANUMET XR",3076.000,45.000000000,25090.28,23683.51,1406.77
FFSU,AK,00006008062,00006,0080,62,2022,4,true,"JANUMET XR",,,,,
FFSU,AK,00006008131,00006,0081,31,2022,4,false,"JANUMET XR",750.000,19.000000000,12573.43,11751.67,821.76
FFSU,AK,00006011231,00006,0112,31,2022,4,false,"JANUVIA   ",1949.000,44.000000000,32962.61,32962.61,0.00
FFSU,AK,00006011254,00006,0112,54,2022,4,true,"JANUVIA   ",,,,,
FFSU,AK,00006022128,00006,0221,28,2022,4,false,"JANUVIA   ",197.000,11.000000000,3465.11,3465.11,0.00
FFSU,AK,00006022131,00006,0221,31,2022,4,false,"JANUVIA   ",711.000,27.000000000,12197.77,12197.77,0.00
FFSU,AK,00006022154,00006,0221,54,2022,4,true,"JANUVIA   ",,,,,
FFSU,AK,00006022761,00006,0227,61,2022,4,true,"ISENTRESS ",,,,,
FFSU,AK,00006027731,00006,0277,31,2022,4,false,"JANUVIA   ",10933.000,263.000000000,184516.21,180702.56,3813.65
FFSU,AK,00006027754,00006,0277,54,2022,4,false,"JANUVIA   ",3245.000,107.000000000,54749.93,54749.93,0.00
FFSU,AK,00006027782,00006,0277,82,2022,4,true,"JANUVIA   ",,,,,
FFSU,AK,00006032530,00006,0325,30,2022,4,true,"BELSOMRA  ",,,,,
FFSU,AK,00006033530,00006,0335,30,2022,4,false,"BELSOMRA  ",1670.000,56.000000000,21863.86,21513.50,350.36
FFSU,AK,00006057561,00006,0575,61,2022,4,true,"JANUMET   ",,,,,
FFSU,AK,00006057761,00006,0577,61,2022,4,false,"JANUMET   ",6026.000,73.000000000,50792.50,50792.50,0.00
FFSU,AK,00006057762,00006,0577,62,2022,4,true,"JANUMET   ",,,,,
FFSU,AK,00006302602,00006,3026,02,2022,4,true,"KEYTRUDA  ",,,,,
FFSU,AK,00006302604,00006,3026,04,2022,4,false,"KEYTRUDA  ",864.000,87.000000000,1090461.89,635775.67,454686.22
FFSU,AK,00006306100,00006,3061,00,2022,4,true,"EMEND     ",,,,,
FFSU,AK,00006306101,00006,3061,01,2022,4,true,"EMEND     ",,,,,
FFSU,AK,00006306901,00006,3069,01,2022,4,true,"PIFELTRO  ",,,,,
FFSU,AK,00006384371,00006,3843,71,2022,4,true,"INVANZ    ",,,,,
FFSU,AK,00006409602,00006,4096,02,2022,4,true,"VAQTA     ",,,,,
FFSU,AK,00006411903,00006,4119,03,2022,4,true,"GARDASIL 9",,,,,
FFSU,AK,00006412102,00006,4121,02,2022,4,false,"GARDASIL 9",26.500,53.000000000,13961.12,13961.12,0.00
FFSU,AK,00006483703,00006,4837,03,2022,4,false,"PNEUMOVAX ",18.000,36.000000000,2935.92,2935.92,0.00
FFSU,AK,00006500701,00006,5007,01,2022,4,true,"DELSTRIGO ",,,,,
FFSU,AK,00006503001,00006,5030,01,2022,4,true,"VERQUVO   ",,,,,
FFSU,AK,00006505506,00006,5055,06,2022,4,false,"LAGEVRIO (",520.000,13.000000000,224.71,224.71,0.00
FFSU,AK,00006533101,00006,5331,01,2022,4,true,"WELIREG   ",,,,,
FFSU,AK,00006536303,00006,5363,03,2022,4,true,"STEGLATRO ",,,,,
FFSU,AK,00006536403,00006,5364,03,2022,4,false,"STEGLATRO ",600.000,16.000000000,6340.66,6340.66,0.00
FFSU,AK,00006536703,00006,5367,03,2022,4,true,"STEGLUJAN ",,,,,
FFSU,AK,00006536803,00006,5368,03,2022,4,true,"STEGLUJAN ",,,,,
FFSU,AK,00006542302,00006,5423,02,2022,4,true,"BRIDION   ",,,,,
FFSU,AK,00007338513,00007,3385,13,2022,4,true,"COREG CR  ",,,,,
FFSU,AK,00008083321,00008,0833,21,2022,4,true,"EFFEXOR XR",,,,,
FFSU,AK,00008083621,00008,0836,21,2022,4,true,"EFFEXOR XR",,,,,
FFSU,AK,00008092351,00008,0923,51,2022,4,true,"PROTONIX I",,,,,
FFSU,AK,00008092355,00008,0923,55,2022,4,false,"PROTONIX I",14.000,11.000000000,779.38,779.38,0.00
FFSU,AK,00008092360,00008,0923,60,2022,4,true,"PROTONIX I",,,,,
FFSU,AK,00008103006,00008,1030,06,2022,4,true,"RAPAMUNE  ",,,,,
FFSU,AK,00008200101,00008,2001,01,2022,4,true,"PROTONIX I",,,,,
FFSU,AK,00008400101,00008,4001,01,2022,4,true,"PROTONIX I",,,,,
FFSU,AK,00009001103,00009,0011,03,2022,4,false,SOLU-CORTE,153.750,24.000000000,3068.86,3068.86,0.00
FFSU,AK,00009001104,00009,0011,04,2022,4,false,SOLU-CORTE,35.000,16.000000000,966.14,966.14,0.00
FFSU,AK,00009001201,00009,0012,01,2022,4,true,"CORTEF    ",,,,,
FFSU,AK,00009001305,00009,0013,05,2022,4,true,SOLU-CORTE,,,,,
FFSU,AK,00009003905,00009,0039,05,2022,4,true,SOLU-MEDRO,,,,,
FFSU,AK,00009003928,00009,0039,28,2022,4,false,SOLU-MEDRO,22.460,23.000000000,419.66,413.09,6.57
FFSU,AK,00009004703,00009,0047,03,2022,4,false,SOLU-MEDRO,23.960,25.000000000,794.80,756.25,38.55
FFSU,AK,00009004722,00009,0047,22,2022,4,false,SOLU-MEDRO,79.000,77.000000000,2550.12,2540.91,9.21
FFSU,AK,00009004725,00009,0047,25,2022,4,true,SOLU-MEDRO,,,,,
FFSU,AK,00009009001,00009,0090,01,2022,4,true,"XANAX     ",,,,,
FFSU,AK,00009022502,00009,0225,02,2022,4,true,"CLEOCIN HC",,,,,
FFSU,AK,00009027101,00009,0271,01,2022,4,false,DEPO-ESTRA,37.000,13.000000000,845.64,764.48,81.16
FFSU,AK,00009027401,00009,0274,01,2022,4,false,DEPO-MEDRO,29.000,25.000000000,195.20,190.41,4.79
FFSU,AK,00009028002,00009,0280,02,2022,4,false,DEPO-MEDRO,15.400,15.000000000,150.77,150.77,0.00
FFSU,AK,00009028003,00009,0280,03,2022,4,false,DEPO-MEDRO,24.000,20.000000000,218.09,191.60,26.49
FFSU,AK,00009030602,00009,0306,02,2022,4,false,DEPO-MEDRO,57.000,53.000000000,968.16,827.64,140.52
FFSU,AK,00009041701,00009,0417,01,2022,4,false,DEPO-TESTO,38.000,15.000000000,801.33,801.33,0.00
FFSU,AK,00009041702,00009,0417,02,2022,4,true,DEPO-TESTO,,,,,
FFSU,AK,00009043601,00009,0436,01,2022,4,true,"R-GENE 10 ",,,,,
FFSU,AK,00009069801,00009,0698,01,2022,4,true,SOLU-MEDRO,,,,,
FFSU,AK,00009074630,00009,0746,30,2022,4,true,DEPO-PROVE,,,,,
FFSU,AK,00009076004,00009,0760,04,2022,4,false,"CLEOCIN PE",4600.000,14.000000000,1138.74,1138.74,0.00
FFSU,AK,00009307301,00009,3073,01,2022,4,false,DEPO-MEDRO,74.000,71.000000000,926.84,884.66,42.18
FFSU,AK,00009307322,00009,3073,22,2022,4,true,DEPO-MEDRO,,,,,
FFSU,AK,00009347501,00009,3475,01,2022,4,false,DEPO-MEDRO,41.000,40.000000000,653.92,521.20,132.72
FFSU,AK,00009347503,00009,3475,03,2022,4,false,DEPO-MEDRO,23.000,20.000000000,475.86,365.29,110.57
FFSU,AK,00009470913,00009,4709,13,2022,4,true,"DEPO-SUBQ ",,,,,
FFSU,AK,00009540001,00009,5400,01,2022,4,false,"NICOTROL  ",3726.000,21.000000000,10425.31,10425.31,0.00
FFSU,AK,00009737611,00009,7376,11,2022,4,true,DEPO-PROVE,,,,,
FFSU,AK,00009766701,00009,7667,01,2022,4,true,"CLEOCIN   ",,,,,
FFSU,AK,00013215036,00013,2150,36,2022,4,false,"ESTRING   ",21.000,21.000000000,10132.34,10132.34,0.00
FFSU,AK,00013264681,00013,2646,81,2022,4,true,GENOTROPIN,,,,,
FFSU,AK,00013265802,00013,2658,02,2022,4,true,GENOTROPIN,,,,,
FFSU,AK,00023114501,00023,1145,01,2022,4,false,"BOTOX     ",71.600,56.000000000,41818.56,24932.27,16886.29
FFSU,AK,00023320503,00023,3205,03,2022,4,false,"LUMIGAN   ",110.000,31.000000000,9777.16,9671.79,105.37
FFSU,AK,00023320505,00023,3205,05,2022,4,true,"LUMIGAN   ",,,,,
FFSU,AK,00023334807,00023,3348,07,2022,4,false,"OZURDEX   ",46.000,33.000000000,61931.18,27623.65,34307.53
FFSU,AK,00023392102,00023,3921,02,2022,4,true,"BOTOX     ",,,,,
FFSU,AK,00023530105,00023,5301,05,2022,4,true,"RESTASIS M",,,,,
FFSU,AK,00023586230,00023,5862,30,2022,4,true,"TAYTULLA  ",,,,,
FFSU,AK,00023599060,00023,5990,60,2022,4,true,"ANDRODERM ",,,,,
FFSU,AK,00023599230,00023,5992,30,2022,4,true,"ANDRODERM ",,,,,
FFSU,AK,00023608201,00023,6082,01,2022,4,true,"INFED     ",,,,,
FFSU,AK,00023608210,00023,6082,10,2022,4,true,"INFED     ",,,,,
FFSU,AK,00023611501,00023,6115,01,2022,4,true,"ZENPEP    ",,,,,
FFSU,AK,00023614230,00023,6142,30,2022,4,true,"RAPAFLO   ",,,,,
FFSU,AK,00023615308,00023,6153,08,2022,4,true,"OXYTROL   ",,,,,
FFSU,AK,00023649810,00023,6498,10,2022,4,false,"UBRELVY   ",460.000,39.000000000,41551.36,41551.36,0.00
FFSU,AK,00023650110,00023,6501,10,2022,4,false,"UBRELVY   ",1626.000,154.000000000,147525.89,147525.89,0.00
FFSU,AK,00023650116,00023,6501,16,2022,4,true,"UBRELVY   ",,,,,
FFSU,AK,00023916330,00023,9163,30,2022,4,false,"RESTASIS  ",324.000,16.000000000,6145.55,6145.55,0.00
FFSU,AK,00023916360,00023,9163,60,2022,4,false,"RESTASIS  ",768.000,23.000000000,19448.45,19115.11,333.34
FFSU,AK,00023921105,00023,9211,05,2022,4,false,"COMBIGAN  ",90.000,12.000000000,3649.24,3649.24,0.00
FFSU,AK,00023921110,00023,9211,10,2022,4,true,"COMBIGAN  ",,,,,
FFSU,AK,00023923201,00023,9232,01,2022,4,true,"BOTOX COSM",,,,,
FFSU,AK,00023932105,00023,9321,05,2022,4,false,"ALPHAGAN P",125.000,21.000000000,4556.40,4556.40,0.00
FFSU,AK,00023932110,00023,9321,10,2022,4,true,"ALPHAGAN P",,,,,
FFSU,AK,00023932115,00023,9321,15,2022,4,true,"ALPHAGAN P",,,,,
FFSU,AK,00024414260,00024,4142,60,2022,4,true,"MULTAQ    ",,,,,
FFSU,AK,00024515175,00024,5151,75,2022,4,true,"ELITEK    ",,,,,
FFSU,AK,00024542131,00024,5421,31,2022,4,true,"AMBIEN    ",,,,,
FFSU,AK,00024576105,00024,5761,05,2022,4,false,"SOLIQUA 10",291.000,11.000000000,14923.88,13282.89,1640.99
FFSU,AK,00024582411,00024,5824,11,2022,4,true,"JEVTANA   ",,,,,
FFSU,AK,00024586903,00024,5869,03,2022,4,false,"TOUJEO SOL",288.000,30.000000000,24145.90,24145.90,0.00
FFSU,AK,00024587102,00024,5871,02,2022,4,false,"TOUJEO MAX",384.000,35.000000000,32091.88,31214.91,876.97
FFSU,AK,00024591401,00024,5914,01,2022,4,false,"DUPIXENT S",1004.000,240.000000000,790949.27,769373.11,21576.16
FFSU,AK,00024591502,00024,5915,02,2022,4,false,"DUPIXENT P",544.000,125.000000000,442516.32,442516.32,0.00
FFSU,AK,00024591801,00024,5918,01,2022,4,false,"DUPIXENT S",104.880,47.000000000,147695.76,139156.68,8539.08
FFSU,AK,00024591902,00024,5919,02,2022,4,true,"DUPIXENT P",,,,,
FFSU,AK,00024592410,00024,5924,10,2022,4,true,"ADMELOG   ",,,,,
FFSU,AK,00024592505,00024,5925,05,2022,4,true,"ADMELOG SO",,,,,
FFSU,AK,00025141190,00025,1411,90,2022,4,true,"ARTHROTEC ",,,,,
FFSU,AK,00025152531,00025,1525,31,2022,4,true,"CELEBREX  ",,,,,
FFSU,AK,00032120370,00032,1203,70,2022,4,true,"CREON     ",,,,,
FFSU,AK,00032120601,00032,1206,01,2022,4,true,"CREON     ",,,,,
FFSU,AK,00032120607,00032,1206,07,2022,4,true,"CREON     ",,,,,
FFSU,AK,00032121201,00032,1212,01,2022,4,false,"CREON     ",4561.000,20.000000000,16606.30,8052.70,8553.60
FFSU,AK,00032121207,00032,1212,07,2022,4,true,"CREON     ",,,,,
FFSU,AK,00032122401,00032,1224,01,2022,4,false,"CREON     ",10027.000,41.000000000,71735.81,71735.81,0.00
FFSU,AK,00032122407,00032,1224,07,2022,4,false,"CREON     ",3134.000,19.000000000,21484.68,21484.68,0.00
FFSU,AK,00032301613,00032,3016,13,2022,4,false,"CREON     ",4010.000,26.000000000,43676.12,41391.17,2284.95
FFSU,AK,00032301628,00032,3016,28,2022,4,true,"CREON     ",,,,,
FFSU,AK,00037024523,00037,0245,23,2022,4,true,"DYMISTA   ",,,,,
FFSU,AK,00037682210,00037,6822,10,2022,4,true,PROCTOFOAM,,,,,
FFSU,AK,00037682410,00037,6824,10,2022,4,true,"EPIFOAM   ",,,,,
FFSU,AK,00046087221,00046,0872,21,2022,4,false,"PREMARIN  ",3540.000,116.000000000,45459.65,45459.65,0.00
FFSU,AK,00046110081,00046,1100,81,2022,4,false,"PREMARIN  ",979.000,26.000000000,5802.12,5610.19,191.93
FFSU,AK,00046110181,00046,1101,81,2022,4,true,"PREMARIN  ",,,,,
FFSU,AK,00046110281,00046,1102,81,2022,4,false,"PREMARIN  ",2010.000,46.000000000,12408.35,12408.35,0.00
FFSU,AK,00046110381,00046,1103,81,2022,4,true,"PREMARIN  ",,,,,
FFSU,AK,00046110481,00046,1104,81,2022,4,false,"PREMARIN  ",2462.000,56.000000000,15162.98,14691.33,471.65
FFSU,AK,00046110491,00046,1104,91,2022,4,true,"PREMARIN  ",,,,,
FFSU,AK,00046110511,00046,1105,11,2022,4,false,"PREMPRO   ",1127.000,42.000000000,8885.17,8885.17,0.00
FFSU,AK,00046110611,00046,1106,11,2022,4,true,"PREMPRO   ",,,,,
FFSU,AK,00046110711,00046,1107,11,2022,4,false,"PREMPRO   ",1206.000,33.000000000,9292.19,9292.19,0.00
FFSU,AK,00046110811,00046,1108,11,2022,4,true,"PREMPRO   ",,,,,
FFSU,AK,00046257512,00046,2575,12,2022,4,true,"PREMPHASE ",,,,,
FFSU,AK,00049001383,00049,0013,83,2022,4,true,"UNASYN    ",,,,,
FFSU,AK,00049001481,00049,0014,81,2022,4,true,"UNASYN    ",,,,,
FFSU,AK,00049001483,00049,0014,83,2022,4,true,"UNASYN    ",,,,,
FFSU,AK,00049053028,00049,0530,28,2022,4,false,"PFIZERPEN ",25.200,21.000000000,772.80,154.56,618.24
FFSU,AK,00049204010,00049,2040,10,2022,4,false,"CARDURA XL",517.000,29.000000000,3379.74,3137.20,242.54
FFSU,AK,00049234005,00049,2340,05,2022,4,true,"RELPAX    ",,,,,
FFSU,AK,00049491030,00049,4910,30,2022,4,true,"ZOLOFT    ",,,,,
FFSU,AK,00052027303,00052,0273,03,2022,4,true,"NUVARING  ",,,,,
FFSU,AK,00052060202,00052,0602,02,2022,4,false,"BCG (TICE ",18.000,18.000000000,2597.53,1129.67,1467.86
FFSU,AK,00052433001,00052,4330,01,2022,4,false,"NEXPLANON ",67.000,67.000000000,77264.42,77264.42,0.00
FFSU,AK,00054000713,00054,0007,13,2022,4,true,CALCITRIOL,,,,,
FFSU,AK,00054000725,00054,0007,25,2022,4,true,CALCITRIOL,,,,,
FFSU,AK,00054001025,00054,0010,25,2022,4,true,FLECAINIDE,,,,,
FFSU,AK,00054001121,00054,0011,21,2022,4,true,FLECAINIDE,,,,,
FFSU,AK,00054001725,00054,0017,25,2022,4,false,PREDNISONE,3808.000,147.000000000,1576.37,1576.37,0.00
FFSU,AK,00054001729,00054,0017,29,2022,4,false,PREDNISONE,696.000,32.000000000,62.88,62.88,0.00
FFSU,AK,00054001820,00054,0018,20,2022,4,false,PREDNISONE,27.000,13.000000000,91.97,66.88,25.09
FFSU,AK,00054001825,00054,0018,25,2022,4,false,PREDNISONE,468.000,33.000000000,654.94,654.94,0.00
FFSU,AK,00054001829,00054,0018,29,2022,4,false,PREDNISONE,1598.000,112.000000000,2402.63,2402.63,0.00
FFSU,AK,00054001920,00054,0019,20,2022,4,true,PREDNISONE,,,,,
FFSU,AK,00054001925,00054,0019,25,2022,4,false,PREDNISONE,691.000,94.000000000,1397.87,1397.87,0.00
FFSU,AK,00054002025,00054,0020,25,2022,4,false,"LITHIUM CA",2417.000,68.000000000,1400.76,1400.76,0.00
FFSU,AK,00054002125,00054,0021,25,2022,4,false,"LITHIUM CA",6764.000,90.000000000,2292.21,2248.27,43.94
FFSU,AK,00054002129,00054,0021,29,2022,4,true,"LITHIUM CA",,,,,
FFSU,AK,00054004544,00054,0045,44,2022,4,false,IPRATROPIU,570.000,19.000000000,611.60,611.60,0.00
FFSU,AK,00054004641,00054,0046,41,2022,4,false,IPRATROPIU,345.000,20.000000000,697.21,697.21,0.00
FFSU,AK,00054005746,00054,0057,46,2022,4,true,"DIGOXIN   ",,,,,
FFSU,AK,00054006344,00054,0063,44,2022,4,true,RISPERIDON,,,,,
FFSU,AK,00054006447,00054,0064,47,2022,4,true,ONDANSETRO,,,,,
FFSU,AK,00054007725,00054,0077,25,2022,4,false,"TORSEMIDE ",8900.000,148.000000000,3224.22,3224.22,0.00
FFSU,AK,00054014025,00054,0140,25,2022,4,true,"ACARBOSE  ",,,,,
FFSU,AK,00054014125,00054,0141,25,2022,4,true,"ACARBOSE  ",,,,,
FFSU,AK,00054016325,00054,0163,25,2022,4,true,MYCOPHENOL,,,,,
FFSU,AK,00054016625,00054,0166,25,2022,4,false,MYCOPHENOL,1840.000,13.000000000,792.67,792.67,0.00
FFSU,AK,00054016629,00054,0166,29,2022,4,false,MYCOPHENOL,1260.000,11.000000000,576.49,576.49,0.00
FFSU,AK,00054017613,00054,0176,13,2022,4,true,BUPRENORPH,,,,,
FFSU,AK,00054017713,00054,0177,13,2022,4,false,BUPRENORPH,6304.000,102.000000000,5738.30,5738.30,0.00
FFSU,AK,00054018813,00054,0188,13,2022,4,true,BUPRENORPH,,,,,
